Šifra,Naziv
A,"POLJOPRIVREDA, ŠUMARSTVO I RIBOLOV"
01,"Biljna i stočarska proizvodnja, lovstvo i uslužne djelatnosti u vezi s njima"
01.1,Uzgoj jednogodišnjih usjeva
01.11,"Uzgoj žitarica (osim riže), mahunarki i sjemenja uljarica"
01.12,Uzgoj riže
01.13,"Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća"
01.14,Uzgoj šećerne trske
01.15,Uzgoj duhana
01.16,Uzgoj tekstilnih biljaka
01.19,Uzgoj ostalih jednogodišnjih usjeva
01.2,Uzgoj višegodišnjih usjeva
01.21,Uzgoj grožđa
01.22,Uzgoj tropskog i suptropskog voća
01.23,Uzgoj agruma
01.24,Uzgoj jezgričavog i koštuničavog voća
01.25,"Uzgoj bobičastog, orašastog i ostalog voća"
01.26,Uzgoj plodova uljarica
01.27,Uzgoj biljaka za pripremanje napitaka
01.28,"Uzgoj bilja za upotrebu u farmaciji, aromatskog, začinskog i ljekovitog bilja"
01.29,Uzgoj ostalih višegodišnjih usjeva
01.3,Uzgoj sadnog materijala i ukrasnog bilja
01.30,Uzgoj sadnog materijala i ukrasnog bilja
01.4,Uzgoj životinja
01.41,Uzgoj muznih krava
01.42,Uzgoj ostalih goveda i bivola
01.43,"Uzgoj konja, magaraca, mula i mazgi"
01.44,Uzgoj deva i lama
01.45,Uzgoj ovaca i koza
01.46,Uzgoj svinja
01.47,Uzgoj peradi
01.49,Uzgoj ostalih životinja
01.5,Mješovita poljoprivredna proizvodnja (biljna i stočna proizvodnja)
01.50,Mješovita poljoprivredna proizvodnja (biljna i stočna proizvodnja)
01.6,Pomoćne djelatnosti u poljoprivredi i djelatnosti koje se obavljaju nakon žetve usjeva
01.61,Pomoćne djelatnosti za uzgoj usjeva
01.62,Pomoćne djelatnosti za uzgoj životinja
01.63,Djelatnosti koje se obavljaju nakon žetve/berbe poljoprivrednih proizvoda (priprema za primarna tržišta)
01.64,Dorada sjemena za sjemenski materijal
01.7,"Lov, stupičarenje i uslužne djelatnosti u vezi s njima"
01.70,"Lov, stupičarenje i uslužne djelatnosti u vezi s njima"
02,Šumarstvo i sječa drva (iskorištavanje šuma)
02.1,Uzgoj šuma i ostale djelatnosti u šumarstvu
02.10,Uzgoj šuma i ostale djelatnosti u šumarstvu
02.2,Sječa drva (iskorištavanje šuma)
02.20,Sječa drva (iskorištavanje šuma)
02.3,"Sakupljanje nekultiviranih šumskih plodova i proizvoda, osim šumskih sortimenata"
02.30,"Sakupljanje nekultiviranih šumskih plodova i proizvoda, osim šumskih sortimenata"
02.4,Pomoćne usluge u šumarstvu
02.40,Pomoćne usluge u šumarstvu
03,Ribolov i akvakultura
03.1,Ribolov
03.11,Morski ribolov
03.12,Slatkovodni ribolov
03.2,Akvakultura
03.21,Morska akvakultura
03.22,Slatkovodna akvakultura
B,VAĐENJE RUDA I KAMENA
05,Vađenje ugljena i lignita
05.1,Vađenje kamenog ugljena
05.10,Vađenje kamenog ugljena
05.2,Vađenje lignita
05.20,Vađenje lignita
06,Vađenje sirove nafte i prirodnog plina
06.1,Vađenje sirove nafte
06.10,Vađenje sirove nafte
06.2,Vađenje prirodnog plina
06.20,Vađenje prirodnog plina
07,Vađenje metalnih ruda
07.1,Vađenje željeznih ruda
07.10,Vađenje željeznih ruda
07.2,Vađenje ruda obojenih metala
07.21,Vađenje uranijevih i torijevih ruda
07.29,Vađenje ostalih ruda obojenih metala
08,Vađenje ostalih ruda i kamena
08.1,"Vađenje kamena, pijeska i gline"
08.11,"Vađenje ukrasnog kamena i kamena za gradnju, krečnjaka, gipsa, krede i škriljevca"
08.12,Djelatnosti kopova šljunka i pijeska," vađenje gline i kaolina"
08.9,Vađenje ruda i kamena d. n.
08.91,Vađenje minerala za proizvodnju hemikalije i prirodnih mineralnih gnojiva
08.92,Vađenje treseta
08.93,Vađenje soli
08.99,"Vađenje ostalih ruda i kamena, d. n."
09,Pomoćne uslužne djelatnosti u vađenju ruda i kamena
09.1,Pomoćne djelatnosti za vađenje nafte i prirodnog plina
09.10,Pomoćne djelatnosti za vađenje nafte i prirodnog plina
09.9,Pomoćne djelatnosti za ostalo vađenje ruda i kamena
09.90,Pomoćne djelatnosti za ostalo vađenje ruda i kamena
C,PRERAĐIVAČKA INDUSTRIJA
10,Proizvodnja prehrambenih proizvoda
10.1,Prerada i konzerviranje mesa i proizvodnja mesnih proizvoda
10.11,Prerada i konzerviranje mesa
10.12,Prerada i konzerviranje mesa peradi
10.13,Proizvodnja proizvoda od mesa i mesa peradi
10.2,"Prerada i konzerviranje riba, ljuskara i mekušaca"
10.20,"Prerada i konzerviranje riba, ljuskara i mekušaca"
10.3,Prerada i konzerviranje voća i povrća
10.31,Prerada i konzerviranje krompira
10.32,Proizvodnja sokova od voća i povrća
10.39,Ostala prerada i konzerviranje voća i povrća
10.4,Proizvodnja biljnih i životinjskih ulja i masti
10.41,Proizvodnja ulja i masti
10.42,Proizvodnja margarina i sličnih jestivih masti
10.5,Proizvodnja mliječnih proizvoda
10.51,"Proizvodnja mlijeka, mliječnih proizvoda i sira"
10.52,Proizvodnja sladoleda i drugih smrznutih smjesa
10.6,"Proizvodnja mlinskih proizvoda, škroba i škrobnih proizvoda"
10.61,Proizvodnja mlinskih proizvoda
10.62,Proizvodnja škroba i škrobnih proizvoda
10.7,"Proizvodnja pekarskih proizvoda, proizvoda od brašna i kolača"
10.71,Proizvodnja hljeba," svježih peciva i kolača"
10.72,Proizvodnja dvopeka i keksa," proizvodnja trajnih peciva i kolača"
10.73,"Proizvodnja makarona, rezanaca, kuskusa i sličnih proizvoda od brašna"
10.8,Proizvodnja ostalih prehrambenih proizvoda
10.81,Proizvodnja šećera
10.82,"Proizvodnja kakaa, čokolade i slastičarskih proizvoda"
10.83,Prerada čaja i kafe
10.84,Proizvodnja začina i drugih dodataka hrani
10.85,Proizvodnja gotove hrane i jela
10.86,Proizvodnja  homogeniziranih  prehrambenih  preparata  i dijetetske hrane
10.89,"Proizvodnja ostalih prehrambenih proizvoda, d. n."
10.9,Proizvodnja pripremljene hrane za životinje
10.91,Proizvodnja pripremljene stočne hrane
10.92,Proizvodnja pripremljene hrane za kućne ljubimce
11,Proizvodnja pića
11.0,Proizvodnja pića
11.01,"Destiliranje, pročišćavanje i miješanje alkoholnih pića"
11.02,Proizvodnja vina od grožđa
11.03,Proizvodnja jabukovače i ostalih voćnih vina
11.04,Proizvodnja ostalih nedestiliranih fermentiranih pića
11.05,Proizvodnja piva
11.06,Proizvodnja slada
11.07,Proizvodnja osvježavajućih pića," proizvodnja mineralne vode i drugih flaširanih voda"
12,Proizvodnja duhanskih proizvoda
12.0,Proizvodnja duhanskih proizvoda
12.00,Proizvodnja duhanskih proizvoda
13,Proizvodnja tekstila
13.1,Priprema i predenje tekstilnih vlakana
13.10,Priprema i predenje tekstilnih vlakana
13.2,Tkanje tekstila
13.20,Tkanje tekstila
13.3,Dovršavanje tekstila
13.30,Dovršavanje tekstila
13.9,Proizvodnja ostalog tekstila
13.91,Proizvodnja pletenih i heklanih tkanina
13.92,"Proizvodnja gotovih tekstilnih proizvoda, osim odjeće"
13.93,Proizvodnja tepiha i prekrivača za pod
13.94,"Proizvodnja užadi, konopaca, upletenog konca i mreža"
13.95,"Proizvodnja netkanog tekstila i proizvoda od netkanog tekstila, osim odjeće"
13.96,Proizvodnja ostalih tehničkih i industrijskih tekstilnih proizvoda
13.99,"Proizvodnja ostalih tekstilnih proizvoda, d. n."
14,Proizvodnja odjeće
14.1,"Proizvodnja odjeće, osim krznene odjeće"
14.11,Proizvodnja kožne odjeće
14.12,Proizvodnja radne odjeće
14.13,Proizvodnja ostale vanjske odjeće
14.14,Proizvodnja veša
14.19,Proizvodnja ostale odjeće i pribora za odjeću
14.2,Proizvodnja proizvoda od krzna
14.20,Proizvodnja proizvoda od krzna
14.3,Proizvodnja pletene i heklane odjeće
14.31,Proizvodnja pletenih i heklanih čarapa
14.39,Proizvodnja ostale pletene i heklane odjeće
15,Proizvodnja kože i srodnih proizvoda
15.1,Štavljenje i obrada kože," proizvodnja putnih i ručnih torbi, sedlarskih i kaišarskih proizvoda"," dorada i bojenje krzna"
15.11,Štavljenje i obrada kože," dorada i bojenje krzna"
15.12,"Proizvodnja putnih i ručnih torba i sličnih proizvoda, sedlarskih i kaišarskih proizvoda"
15.2,Proizvodnja obuće
15.20,Proizvodnja obuće
16,"Prerada drva i proizvoda od drva i pluta, osim namještaja"," proizvodnja predmeta od slame i pletarskih materijala"
16.1,Piljenje i blanjanje drva  (proizvodnja  rezane građe)," impregnacija drveta"
16.10,Piljenje  i  blanjanje  drva  (proizvodnja  rezane  građe)," impregnacija drveta"
16.2,"Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala"
16.21,Proizvodnja furnira i ostalih ploča od drva
16.22,Proizvodnja sastavljenog parketa
16.23,Proizvodnja ostale građevne stolarije i elemenata
16.24,Proizvodnja ambalaže od drva
16.29,"Proizvodnja ostalih proizvoda od drva, proizvoda od pluta, slame i pletarskih materijala"
17,Proizvodnja papira i proizvoda od papira
17.1,"Proizvodnja celuloze, papira i kartona"
17.11,Proizvodnja celuloze
17.12,Proizvodnja papira i kartona
17.2,Proizvodnja proizvoda od papira i kartona
17.21,Proizvodnja valovitog papira i kartona te ambalaže od papira i kartona
17.22,Proizvodnja proizvoda za domaćinstvo i higijenu te toaletnih potrepština od papira
17.23,Proizvodnja kancelarijskog materijala od papira
17.24,Proizvodnja zidnih tapeta
17.29,Proizvodnja ostalih proizvoda od papira i kartona
18,Štampanje i umnožavanje snimljenih zapisa
18.1,Štampanje i uslužne djelatnosti u vezi sa štampanjem
18.11,Štampanje novina
18.12,Ostalo štampanje
18.13,Usluge pripreme za štampu i objavljivanje
18.14,Knjigoveške i srodne usluge
18.2,Umnožavanje snimljenih zapisa
18.20,Umnožavanje snimljenih zapisa
19,Proizvodnja koksa i rafiniranih naftnih proizvoda
19.1,Proizvodnja proizvoda koksnih peći
19.10,Proizvodnja proizvoda koksnih peći
19.2,Proizvodnja rafiniranih naftnih proizvoda
19.20,Proizvodnja rafiniranih naftnih proizvoda
20,Proizvodnja hemikalija i hemijskih proizvoda
20.1,"Proizvodnja osnovnih hemikalija, gnojiva i dušičnih spojeva, plastike i sintetičkog kaučuka u primarnim oblicima"
20.11,Proizvodnja industrijskih plinova
20.12,Proizvodnja koloranata i pigmenata
20.13,Proizvodnja ostalih anorganskih osnovnih hemikalija
20.14,Proizvodnja ostalih osnovnih organskih hemikalija
20.15,Proizvodnja gnojiva i dušičnih spojeva
20.16,Proizvodnja plastičnih masa u primarnim oblicima
20.17,Proizvodnja sintetičkog kaučuka u primarnim oblicima
20.2,Proizvodnja pesticida i drugih agrohemijskih proizvoda
20.20,Proizvodnja pesticida i drugih agrohemijskih proizvoda
20.3,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
20.30,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
20.4,"Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje, parfema i toaletno-kozmetičkih preparata"
20.41,"Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
20.42,Proizvodnja parfema i toaletno-kozmetičkih preparata
20.5,Proizvodnja ostalih hemijskih proizvoda
20.51,Proizvodnja eksploziva
20.52,Proizvodnja ljepila
20.53,Proizvodnja eteričnih ulja
20.59,"Proizvodnja ostalih hemijskih proizvoda, d. n."
20.6,Proizvodnja umjetnih vlakana
20.60,Proizvodnja umjetnih vlakana
21,Proizvodnja osnovnih  farmaceutskih proizvoda  i farmaceutskih preparata
21.1,Proizvodnja osnovnih farmaceutskih proizvoda
21.10,Proizvodnja osnovnih farmaceutskih proizvoda
21.2,Proizvodnja farmaceutskih preparata
21.20,Proizvodnja farmaceutskih preparata
22,Proizvodnja proizvoda od gume i plastičnih masa
22.1,Proizvodnja proizvoda od gume
22.11,Proizvodnja vanjskih i unutrašnjih guma za vozila," protektiranje vanjskih guma za vozila"
22.19,Proizvodnja ostalih proizvoda od gume
22.2,Proizvodnja proizvoda od plastičnih masa
22.21,"Proizvodnja ploča, listova, cijevi i profila od plastičnih masa"
22.22,Proizvodnja ambalaže od plastičnih masa
22.23,Proizvodnja proizvoda od plastičnih masa za građevinarstvo
22.29,Proizvodnja ostalih proizvoda od plastičnih masa
23,Proizvodnja ostalih nemetalnih mineralnih proizvoda
23.1,Proizvodnja stakla i proizvoda od stakla
23.11,Proizvodnja ravnog stakla
23.12,Oblikovanje i obrada ravnog stakla
23.13,Proizvodnja šupljeg stakla
23.14,Proizvodnja staklenih vlakana
23.19,"Proizvodnja i obrada ostalog stakla, uključujući tehničke proizvode od stakla"
23.2,Proizvodnja vatrostalnih proizvoda
23.20,Proizvodnja vatrostalnih proizvoda
23.3,Proizvodnja proizvoda od gline za građevinarstvo
23.31,Proizvodnja keramičkih pločica i podnih ploča
23.32,"Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
23.4,Proizvodnja ostalih proizvoda od porculana i keramike
23.41,Proizvodnja  keramičkih  proizvoda  za  domaćinstvo i ukrasnih predmeta
23.42,Proizvodnja sanitarne opreme od keramike
23.43,Proizvodnja keramičkih izolatora i izolacijskog pribora
23.44,Proizvodnja ostalih tehničkih proizvoda od keramike
23.49,Proizvodnja ostalih proizvoda od keramike
23.5,"Proizvodnja cementa, kreča i gipsa"
23.51,Proizvodnja cementa
23.52,Proizvodnja kreča i gipsa
23.6,"Proizvodnja proizvoda od betona, cementa i gipsa"
23.61,Proizvodnja proizvoda od betona za građevinarstvo
23.62,Proizvodnja proizvoda od gipsa za građevinarstvo
23.63,Proizvodnja gotove betonske smjese
23.64,Proizvodnja žbuke
23.65,Proizvodnja (vlaknastog) fibro-cementa
23.69,"Proizvodnja ostalih proizvoda od betona, cementa i gipsa"
23.7,"Rezanje, oblikovanje i obrada kamena"
23.70,"Rezanje, oblikovanje i obrada kamena"
23.9,"Proizvodnja brusnih proizvoda i nemetalnih mineralnih proizvoda, d. n."
23.91,Proizvodnja brusnih proizvoda
23.99,"Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n."
24,Proizvodnja baznih metala
24.1,"Proizvodnja sirovog željeza, čelika i ferolegura"
24.10,"Proizvodnja sirovog željeza, čelika i ferolegura"
24.2,"Proizvodnja cijevi, crijeva, šupljih profila i  pripadajućeg pribora od čelika"
24.20,"Proizvodnja cijevi, crijeva, šupljih profila i pripadajućeg pribora od čelika"
24.3,Proizvodnja ostalih proizvoda primarne prerade čelika
24.31,Hladno vučenje šipki
24.32,Hladno valjanje uskih vrpci
24.33,Hladno oblikovanje i profiliranje
24.34,Hladno vučenje žice
24.4,Proizvodnja baznih plemenitih i ostalih obojenih metala
24.41,Proizvodnja plemenitih metala
24.42,Proizvodnja aluminija
24.43,"Proizvodnja olova, cinka i kositra"
24.44,Proizvodnja bakra
24.45,Proizvodnja ostalih obojenih metala
24.46,Obrada nuklearnog goriva
24.5,Lijevanje metala
24.51,Lijevanje željeza
24.52,Lijevanje čelika
24.53,Lijevanje lakih metala
24.54,Lijevanje ostalih obojenih metala
25,"Proizvodnja gotovih  metalnih  proizvoda,  osim  mašina  i opreme"
25.1,Proizvodnja metalnih konstrukcija
25.11,Proizvodnja metalnih konstrukcija i njihovih dijelova
25.12,Proizvodnja vrata i prozora od metala
25.2,"Proizvodnja metalnih cisterni, rezervoara i sličnih posuda"
25.21,Proizvodnja radijatora i kotlova za centralno grijanje
25.29,"Proizvodnja ostalih metalnih cisterni, rezervoara i sličnih posuda"
25.3,"Proizvodnja parnih kotlova, osim kotlova za centralno grijanje"
25.30,"Proizvodnja parnih kotlova, osim kotlova za centralno grijanje"
25.4,Proizvodnja oružja i municije
25.40,Proizvodnja oružja i municije
25.5,"Kovanje, presovanje, štancanje i valjanje metala"," metalurgija praha"
25.50,"Kovanje, presovanje, štancanje  i valjanje metala"," metalurgija praha"
25.6,Površinska  obrada  i  prevlačenje  metala,"  mašinska obrada metala"
25.61,Površinska obrada i prevlačenje metala
25.62,Mašinska obrada metala
25.7,"Proizvodnja  sječiva, alata  i  metalnih  proizvoda za opću namjenu"
25.71,Proizvodnja sječiva
25.72,Proizvodnja brava i okova
25.73,Proizvodnja alata
25.9,Proizvodnja ostalih gotovih proizvoda od metala
25.91,Proizvodnja čeličnih buradi i sličnih posuda od čelika
25.92,Proizvodnja ambalaže od lakih metala
25.93,"Proizvodnja proizvoda od žice, lanaca i opruga"
25.94,Proizvodnja veznih i vijčanih proizvoda
25.99,"Proizvodnja ostalih gotovih proizvoda od metala, d. n."
26,Proizvodnja računara te elektroničkih i optičkih proizvoda
26.1,Proizvodnja elektroničkih komponenata i ploča
26.11,Proizvodnja elektroničkih komponenata
26.12,Proizvodnja punih elektroničkih ploča
26.2,Proizvodnja računara i periferne opreme
26.20,Proizvodnja računara i periferne opreme
26.3,Proizvodnja komunikacijske opreme
26.30,Proizvodnja komunikacijske opreme
26.4,Proizvodnja elektroničkih uređaja za široku potrošnju
26.40,Proizvodnja elektroničkih uređaja za široku potrošnju
26.5,"Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navođenje"," proizvodnja satova"
26.51,"Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navođenje"
26.52,Proizvodnja satova
26.6,"Proizvodnja  opreme  za  zračenje,  elektromedicinske  i elektroterapeutske opreme"
26.60,"Proizvodnja  opreme  za  zračenje,  elektromedicinske  i elektroterapeutske opreme"
26.7,Proizvodnja optičkih instrumenata i fotografske opreme
26.70,Proizvodnja optičkih instrumenata i fotografske opreme
